question,tag,answer
"ঠিক আছে, ধন্যবাদ। আমি এখন কলটি শেষ করব।",goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"এই পর্যন্তই, ধন্যবাদ আপনার সাহায্যের জন্য।",goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"আমার আর কিছু জানার নেই, আমি কলটি কেটে দিচ্ছি।",goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"আপনার সাথে কথা বলে ভালো লাগলো, এখন আমি কলটি শেষ করছি।",goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
আবার দেখা হবে,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
ধন্যবাদ,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
বিদায় এবং ভালো থাকুন,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
ধন্যবাদ আপনাকে,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
গুডবাই,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
থেনক্স,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
ধন্যবাদ ভাই,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
ধন্যবাদ আপু,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
থেনক্স ম্যান,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
বিদায়,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
আল্লাহ হাফেজ,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
সদা ভালো থেকো,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
ফিরে আসবো,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
আবার কথা হবে,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
ভালো থেকো,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
যেতে হবে,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
সাবধানে থেকো,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
চলে যাচ্ছি,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
বিদায় নিচ্ছি,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
আবার আসবো,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
কথা হবে পরে,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
সি ইউ লেটার,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
টেক কেয়ার,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
ক্যাচ ইউ লেটার,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
ফেয়ারওয়েল,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
সি ইউ সুন,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
বাই,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
লেটার,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
টক টু ইউ লেটার,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
হ্যাভ আ গুড ডে,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
আন্তিল নেক্সট টাইম,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
স্টে সেফ,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
পিস আউট,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
কিপ ইন টাচ,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
দিনটি সুন্দর কাটুক,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"না, আমার আর কোন প্রশ্ন নাই",goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"না, আমার আর কিছু জানার নাই",goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
আপনার সেবার জন্য ধন্যবাদ,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
আমার আর কোন কিছু জিজ্ঞাস করার নাই ধন্যবাদ,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
জি আমার আর কিছু জিজ্ঞাস করার নাই,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
না ভাই থেনক্স,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
আজকের মতো এইটুকু,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
এখন উঠি তাহলে,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
আপাতত বিদায়,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
আর কিছু লাগবে না,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
এটুকুই যথেষ্ট,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
আপনার সময়ের জন্য ধন্যবাদ,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
সহযোগিতার জন্য ধন্যবাদ,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
আল্লাহ ভরসা,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
খোদা হাফেজ,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
আচ্ছা যাই তাহলে,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
পরে আবার কথা হবে ইনশাআল্লাহ,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
তাহলে এখন উঠি,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
আপনার দিনটা শুভ হোক,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
সব কিছুর জন্য ধন্যবাদ,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
আপনার সঙ্গে আর কথা বলে কোনো লাভ নেই। কলটা কেটে দিন।,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"আপনি সাহায্য করতে পারছেন না, তাই আমি কলটা শেষ করতে চাই।",goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"আপনার কাছ থেকে কোনো উপকার পাচ্ছি না, এখন কলটা কেটে দিন দয়া করে।",goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"এই কথোপকথন থেকে কোনো সমাধান আসছে না। কলটা শেষ করুন, অনুগ্রহ করে।",goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"আপনি যেহেতু সাহায্য করতে পারছেন না, আমি আর কথা বলব না। কলটা কেটে দিন।",goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"আমি কথা বন্ধ করতে চাই, কারণ আপনি আমার সমস্যার সমাধান দিচ্ছেন না।",goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"এইভাবে কথা বলে কোনো লাভ হচ্ছে না, অনুগ্রহ করে কলটি শেষ করুন।",goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
আপনি সাহায্য না করলে আর কথা বলে লাভ কী? কলটা শেষ করে দিন।,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"দুঃখিত, কিন্তু আমি এখন কথা বলতে চাই না। কলটা কেটে দিন প্লিজ।",goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"যেহেতু আপনি সহায়তা করতে পারছেন না, কলটি এখানেই শেষ করা উচিত।",goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"আপনি যদি সাহায্য না করতে পারেন, তাহলে আর কথা বাড়িয়ে লাভ নেই। কল কেটে দিন।",goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"আমি আর কথা চালিয়ে যেতে চাই না, আপনি দয়া করে কলটা কেটে দিন।",goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
আমি আর কথা বলতে চাই না। আপনি কোনো সাহায্য করছেন না। কলটা কেটে দিন।,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
তোমার সঙ্গে আর কথা বলে লাভ নেই। কলটা কেটে দাও।,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"তুমি সাহায্য করতে পারছো না, আমি কলটা শেষ করতে চাই।",goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
এভাবে কথা বলে কোনো ফল হচ্ছে না। কলটা কেটে দাও।,goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"তোমার কোনো উপকার পাচ্ছি না, এবার কল শেষ করো।",goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"তুমি তো সাহায্য করতে পারছো না, তাহলে আর কথা বলে লাভ কী?",goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"আমার আর কথা বলার ইচ্ছা নেই, দয়া করে কলটা কেটে দাও।",goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"তুমি কোনো কাজে আসছো না, এখন কলটা শেষ করা ভালো।",goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"তোমার থেকে কোনো সমাধান পাচ্ছি না, কথা শেষ করি।",goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"এই কথাবার্তা থেকে কিছু হচ্ছে না, আমি কলটা কেটে দিচ্ছি।",goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
"তুমি যেহেতু হেল্পফুল না, তাহলে কল করা রাখি?",goodbye,বিদায়! আপনার দিনটা সুন্দর কাটুক।
আসসালামুয়ালাইকুম,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
ভাই আসসালামুয়ালাইকুম,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
এই ভাই,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
এই মিয়া,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
হ্যালো,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
নমস্কার,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
স্বাগতম,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
কেমন আছেন?,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
কেমন চলছে?,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
আপনি কে?,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
কি খবর?,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
কেমন আছেন?,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
হায়,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
হাই,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
হ্যালো,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
অই,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
এই বেডা,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
আপু আসসালামুয়ালাইকুম,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
ভাই আসসালামুয়ালাইকুম,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
আদাব',greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
শুভ সকাল,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
শুভ সন্ধ্যা,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
শুভ রাত্রি,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
কেমন লাগছে?,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
কেমন আছো?,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
ভালো আছেন?,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
সব ঠিক আছে?,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
আসেন বসেন,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
আসেন আসেন,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
হ্যালো ভাই,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
আপনি ভালো?,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
আপনার দিন কেমন?,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
ধন্যবাদ,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
আশা করি ভালো আছেন,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
গ্রেটিংস,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
গুড মর্নিং,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
গুড ইভিনিং,greetings,আমি আপনাকে কিভাবে সাহায্য করতে পারি?
